xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
5,5,11,16,20,5,22,23,19.5,22,1.6427299976348877
11,16,5,5,22,23,20,5,19.5,22,1.6427299976348877
19,16,5,12,25,11,10,0,24.0,23,1.970379114151001
5,12,19,16,10,0,25,11,24.0,23,1.970379114151001
3,17,27,21,11,12,29,22,33.0,26,2.9007461071014404
27,21,3,17,29,22,11,12,33.0,26,2.9007461071014404
22,16,12,15,20,31,22,29,8.5,13,0.7882401943206787
12,15,22,16,22,29,20,31,8.5,13,0.7882401943206787
31,18,3,0,25,12,15,8,30.0,25,2.871910333633423
3,0,31,18,15,8,25,12,30.0,25,2.871910333633423
20,30,20,23,25,12,25,0,10.5,12,0.904350996017456
20,23,20,30,25,0,25,12,10.5,12,0.904350996017456
3,11,24,9,22,7,8,19,26.5,26,1.8661582469940186
24,9,3,11,8,19,22,7,26.5,26,1.8661582469940186
7,10,12,1,23,2,24,7,11.0,7,1.0001349449157715
12,1,7,10,24,7,23,2,11.0,7,1.0001349449157715
8,19,4,13,2,3,17,30,30.0,38,5.036736965179443
4,13,8,19,17,30,2,3,30.0,38,5.036736965179443
2,18,21,18,19,3,17,13,17.5,20,1.4440720081329346
21,18,2,18,17,13,19,3,17.5,20,1.4440720081329346
10,27,14,30,11,13,5,3,11.5,10,0.9754328727722168
14,30,10,27,5,3,11,13,11.5,10,0.9754328727722168
5,14,8,4,23,20,10,17,15.5,18,1.1974263191223145
8,4,5,14,10,17,23,20,15.5,18,1.1974263191223145
28,6,10,9,16,22,4,29,23.0,25,1.8015341758728027
10,9,28,6,4,29,16,22,23.0,25,1.8015341758728027
7,2,26,2,24,19,20,11,18.5,18,1.5899031162261963
26,2,7,2,20,11,24,19,18.5,18,1.5899031162261963
30,27,3,24,30,4,18,9,27.5,34,9.639212846755981
3,24,30,27,18,9,30,4,27.5,34,9.639212846755981
26,3,27,24,20,5,9,3,20.5,24,1.5567982196807861
27,24,26,3,9,3,20,5,20.5,24,1.5567982196807861
31,10,27,11,3,11,0,26,4.0,4,60.0
27,11,31,10,0,26,3,11,4.0,4,60.0
28,28,14,28,10,31,8,21,19.0,19,1.5358006954193115
14,28,28,28,8,21,10,31,19.0,19,1.5358006954193115
30,25,5,5,29,17,27,13,27.5,44,3.0447630882263184
5,5,30,25,27,13,29,17,27.5,44,3.0447630882263184
23,17,29,0,24,24,25,10,24.0,18,1.7554960250854492
29,0,23,17,25,10,24,24,24.0,18,1.7554960250854492
18,7,11,23,25,20,10,13,23.5,24,1.9037859439849854
11,23,18,7,10,13,25,20,23.5,24,1.9037859439849854
8,9,11,14,20,6,22,1,7.5,8,0.5106551647186279
11,14,8,9,22,1,20,6,7.5,8,0.5106551647186279
6,17,2,14,29,7,3,13,22.5,21,3.0547778606414795
2,14,6,17,3,13,29,7,22.5,21,3.0547778606414795
20,22,3,15,17,8,4,7,22.0,19,1.9245047569274902
3,15,20,22,4,7,17,8,22.0,19,1.9245047569274902
1,31,3,0,11,30,31,1,49.0,40,6.752396106719971
3,0,1,31,31,1,11,30,49.0,40,6.752396106719971
0,26,17,30,24,23,11,17,22.0,21,1.471059799194336
17,30,0,26,11,17,24,23,22.0,21,1.471059799194336
11,19,22,19,5,12,4,29,18.5,20,1.9008758068084717
22,19,11,19,4,29,5,12,18.5,20,1.9008758068084717
12,16,10,26,7,0,30,14,18.0,17,60.0
10,26,12,16,30,14,7,0,18.0,17,60.0
6,19,21,23,26,4,22,30,27.5,25,2.713761806488037
21,23,6,19,22,30,26,4,27.5,25,2.713761806488037
8,3,21,17,3,25,10,9,25.0,25,1.8742830753326416
21,17,8,3,10,9,3,25,25.0,25,1.8742830753326416
12,25,28,4,10,8,14,0,26.5,30,2.881800889968872
28,4,12,25,14,0,10,8,26.5,30,2.881800889968872
14,3,11,6,22,30,12,1,25.5,24,3.116636276245117
11,6,14,3,12,1,22,30,25.5,24,3.116636276245117
7,7,18,29,17,1,16,3,18.0,30,1.9791922569274902
18,29,7,7,16,3,17,1,18.0,30,1.9791922569274902
26,14,19,4,16,26,31,7,25.5,20,2.0495569705963135
19,4,26,14,31,7,16,26,25.5,20,2.0495569705963135
0,2,26,17,21,1,29,16,34.0,36,3.0333731174468994
26,17,0,2,29,16,21,1,34.0,36,3.0333731174468994
6,13,2,9,7,18,23,15,15.5,22,1.380631923675537
2,9,6,13,23,15,7,18,15.5,22,1.380631923675537
16,30,24,24,6,27,14,15,18.0,22,1.3320529460906982
24,24,16,30,14,15,6,27,18.0,22,1.3320529460906982
13,10,24,15,15,21,21,18,12.5,13,1.0039751529693604
24,15,13,10,21,18,15,21,12.5,13,1.0039751529693604
10,10,19,16,26,13,10,8,19.0,12,3.4423229694366455
